summary,category,found_at,confidence,article_sentence,human_approved,planning,amount,amount_normalized,assets,assets_tags,award,contact,division,effective_date,event,financing_type,financing_type_normalized,financing_type_tags,headcount,job_title,job_title_tags,location,location_data,product,product_data,product_tags,recognition,vulnerability,id,company_id,source_id,year_month
"amazon.com, inc. launched insurance marketplace in the uk on sep 2nd '20.",launches,02/09/21 9:00,0.8432,"last week, amazon launched its belgian marketplace and made headlines with the launch of an insurance marketplace in the uk.",FALSE,FALSE,none,,none,[],none,none,none,02/09/20 0:00,none,none,none,[],,none,[],none,[],insurance marketplace in the uk,"{""full_text"": ""insurance marketplace in the uk"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}","[""online_technology""]",none,none,49e4c1fe-d2f9-4243-ab7b-9a2f82b7f05e,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,acf1cce7-4b56-4dd4-ba56-84ea5be91a51,2021-09
"kendall kylie partnered with amazon.com, inc. on jan 1st '12.",partners_with,23/08/21 3:23,0.531,"in 2012, the jenner sisters, kendall + kylie, collaborated with amazon’s the drop collection that suits quarantine’s clothing criteria.",FALSE,FALSE,none,,none,[],none,none,none,01/01/12 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49e55a34-fe95-4972-ad62-7e9b1f9b073c,36cb6cf7-1d40-5213-a27e-88bb7ec1b183,9f4f2a88-ed34-47b5-9ce9-81a66b982398,2021-08
"amazon.com, inc. launched modern love season 2 on aug 13th '21.",launches,26/05/21 23:13,0.7738,amazon has announced that modern love season 2 will launch on friday 13 th august exclusively on prime video in more than 240 countries and territories worldwide.,FALSE,FALSE,none,,none,[],none,none,none,13/08/21 0:00,none,none,none,[],,none,[],none,[],modern love season 2,"{""full_text"": ""modern love season 2"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49ea556b-c2e6-4622-ae58-28be5c322e52,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,6fc80a8e-ab54-443b-84ab-1ee7d9627079,2021-05
"amazon.com, inc. partnered with boys & girls clubs of america on jan 1st '20.",partners_with,15/07/20 4:24,0.5573,"amazon has partnered with the boys & girls club of america to launch “camp prime,” a virtual summer camp for kids since a traditional camp experience isn’t on the table this year.",FALSE,FALSE,none,,none,[],none,none,none,01/01/20 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49ee3cb5-325d-4919-834e-fd48f662bef1,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,6d43771d-6838-4431-9f63-7dbeeda028fa,2020-07
"amazon.com, inc. invests into assets: seven boeing 767-300ers.",invests_into_assets,29/10/20 6:00,0.5157,"amazon air has purchased seven boeing 767-300ers from delta air lines, growing its fleet as the shortage of cargo capacity during the coronavirus pandemic increases opportunities to generate revenue from air freight.",FALSE,FALSE,none,,seven boeing 767-300ers,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49ee782e-7c28-4d0b-8505-a1f538b93d5d,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,3ba3830f-ec47-4afe-8377-5139f8669f37,2020-10
"acciona partnered with amazon.com, inc. on dec 1st '21.",partners_with,10/12/20 6:09,0.5638,acciona has signed power purchase agreements with amazon in the us covering more 641mw of solar capacity.,FALSE,FALSE,none,,none,[],none,none,none,01/12/21 0:00,none,none,none,[],,none,[],united states,"[{""city"": null, ""continent"": null, ""country"": ""united states"", ""fuzzy_match"": false, ""region"": null, ""state"": null, ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49f02939-eb3d-4357-b31d-efbb24a8f3a0,c89cac4d-a01d-5637-bdb5-3b8f668bbcad,4b30eee8-c142-42fd-a5db-abf6e3e1ffe4,2020-12
"amazon.com, inc. launches pop.",launches,07/06/23 17:02,1,update : amazon finally got their act together and launched this pop.,FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],pop,"{""full_text"": ""pop"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49f44b89-82ca-431d-b39c-1757fb356895,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,5e47bbbf-fa07-4a39-ba18-c538df7ccdee,2023-06
"nissanconnect partners with amazon.com, inc..",partners_with,19/03/21 22:02,0.5609,"“nissan is the first automaker to work with amazon on new features that leverage alexa’s new connected vehicle skills api,” the automaker says, “making it more direct and easier for customers to control vehicle functions with alexa.”",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49f48c05-ee54-440c-8e7e-31df514d2473,8e7e3fa6-635d-5a3f-a1c3-94bfd23f22cd,0381392b-7194-4ff3-b2b9-f7af29c5c53c,2021-03
"grocerkey identified as competitor of amazon.com, inc..",identified_as_competitor_of,09/01/18 23:00,1,"in the race to compete with amazon, walmart, and kroger’s new “scan, bag, and go” offer, grocerkey’s new mobile self-checkout functionality enables regional and independent grocers to offer their shoppers a frictionless in-store experience.",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49fd385b-31a8-4320-bc1d-ec8467e26997,8fe9fe91-daed-5ff8-9f34-0fa7cb2aabc3,9f8373f3-51ef-479c-a513-17dd5d2d9e19,2018-01
"james morgan left amazon.com, inc. as head of prime for europe on aug 12th '21.",leaves,18/01/22 4:00,0.5491,james morgan joins nivoda after seven years at amazon where he was head of prime for europe.,FALSE,FALSE,none,,none,[],none,james morgan,none,12/08/21 0:00,none,none,none,[],,head of prime for europe,"[""management""]",none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49ff4347-f4fb-432a-a14b-1ab8ca514830,none,fd73e035-770b-4f13-86f4-2a2eb97c6649,2022-01
navy federal increased headcount by 1400 on jan 16th '17.,increases_headcount_by,12/01/17 22:36,0.837,"in january, gov. terry mcauliffe announced in his state of the commonwealth address that navy federal credit union plans to spend $100 million in expanding its frederick county operations center, creating 1,400 jobs.",FALSE,FALSE,$100 million,100000000,support and service operations center,[],none,terry mcauliffe,none,16/01/17 0:00,none,none,none,[],1400,none,[],"frederick, maryland, united states","[{""city"": ""frederick"", ""continent"": null, ""country"": ""united states"", ""fuzzy_match"": false, ""region"": null, ""state"": ""maryland"", ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a0005a7-840d-4026-a504-0bc94ecda6b7,c9ba9bfd-c9eb-5f89-8e45-66d47f8743fb,9232ae42-73f2-4b33-a2ba-b545818841f1,2017-01
"amazon.com, inc. partners with the aspen institute, inc..",partners_with,18/11/21 16:13,0.571,"amazon teams up with the aspen institute to explore its upskill america initiative, which studies methods of investing in employee education and career development, while collaborating with companies to adopt these practices to improve upskilling programs.",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a000cf6-a03c-48dc-9362-da507b26ff9c,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,77c5634f-d2fe-4342-9f72-8f14cce6b07b,2021-11
"amazon.com, inc. opens new location in london, united kingdom.",opens_new_location,23/06/25 22:49,0.3595,amazon is set to open two new london office buildings in east london.,TRUE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],"london, united kingdom","[{""city"": ""london"", ""continent"": null, ""country"": ""united kingdom"", ""fuzzy_match"": false, ""region"": null, ""state"": null, ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a0778a1-5e14-43b0-b39a-af27167ae8e7,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,c1fd52c5-fea7-47ca-a152-0105ffd62dca,2025-06
"amazon.com, inc. increased headcount by 400 on jan 1st '16.",increases_headcount_by,26/09/22 5:00,0.2099,"amazon has today announced the start of operations at its new, £500 million state-of-the-art fulfilment centre, in sutton coldfield, west midlands, later this year creating 400 additional new jobs for the region.",FALSE,FALSE,none,,none,[],none,none,none,01/01/16 0:00,none,none,none,[],400,none,[],"sutton coldfield, united kingdom","[{""city"": ""sutton coldfield"", ""continent"": null, ""country"": ""united kingdom"", ""fuzzy_match"": false, ""region"": null, ""state"": null, ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a08950e-0cb0-4a8e-ba0e-e163853137fb,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,f0c2ae70-3d48-4b22-ab4d-bef1e79569af,2022-09
"amazon.com, inc. launched kindle paperwhite and the kindle fire hd on jan 1st '21.",launches,23/05/23 9:48,0.7708,amazon unveiled the kindle paperwhite and the kindle fire hd in 7 and 8.9-inch sizes.,FALSE,FALSE,none,,none,[],none,none,none,01/01/21 0:00,none,none,none,[],,none,[],none,[],kindle paperwhite and the kindle fire hd,"{""full_text"": ""kindle paperwhite and the kindle fire hd"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a098fc3-31bf-4dbc-8567-b87447f17bf7,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,6e398887-5c85-4838-ba05-327bb0e4071c,2023-05
"amazon.com, inc. hires davis as senior vice president of global customer fulfillment.",hires,25/08/20 5:00,0.5669,"according to a report gathered chiefly from blackbusiness.com, it is indicated that davis becomes amazon's senior vice president of global customer fulfillment.",FALSE,FALSE,none,,none,[],none,davis,none,,none,none,none,[],,senior vice president of global customer fulfillment,"[""directors""]",none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a0dba86-abec-4ce1-bb85-306cd2ae293f,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,38d7bb11-c4b4-4c9c-b653-d227e608df68,2020-08
"amazon.com, inc. launches plenty of money-saving deals.",launches,03/10/22 5:00,0.8263,"in the run-up to the online retail giant's second prime day sale of 2022 amazon has launched plenty of money-saving deals, including a four-month free music unlimited deal, money off the echo dot and fire tv stick and now a brilliant kindle unlimited deal.",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],plenty of money-saving deals,"{""full_text"": ""plenty of money-saving deals"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a0e9526-3a16-45fe-acf4-2ee3cd6cc793,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,77f27c25-7606-4c87-8863-75d49412260a,2022-10
"amazon.com, inc. increased headcount by 3600 on mar 16th '20.",increases_headcount_by,16/04/20 14:34,0.7201,"amazon said since march 16, they’ve hired 3,600 new employees statewide, joining the 4,000 full-time employees who were already working for the company in colorado.",FALSE,FALSE,none,,none,[],none,none,none,16/03/20 0:00,none,none,none,[],3600,none,[],"colorado, united states","[{""city"": null, ""continent"": null, ""country"": ""united states"", ""fuzzy_match"": false, ""region"": null, ""state"": ""colorado"", ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a0efe36-765c-41a4-8b94-c3f326f0e4ad,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,fce2bd40-67a4-4492-bc01-457f6ddf6e56,2020-04
"markasset invests into amazon.com, inc..",invests_into,31/01/19 10:42,0.4159,"mark asset corp has invested 8.25% in amazon.com, inc. (nasdaq:amzn).",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a1ce7f0-0839-485b-8cd1-2eac89efcb2e,f102936c-50d6-5bcc-adfa-3f3b44b9c825,e4ea9067-ed38-49ca-91c9-f73cd7a30bef,2019-01
"amazon.com, inc. opens new location in cebu city, philippines.",opens_new_location,07/06/21 10:00,0.7527,"in 2018, amazon opened its first customer service office in cebu city, with plans to gradually increase the workforce in the coming years.",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],"cebu city, philippines","[{""city"": ""cebu city"", ""continent"": null, ""country"": ""philippines"", ""fuzzy_match"": false, ""region"": null, ""state"": null, ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a21f067-fc74-4401-bcf1-36be8f7e0905,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,96c9f0a7-1bb6-4fe9-a094-d766e5f2b30f,2021-06
"amazon.com, inc. signs new client capital one.",signs_new_client,30/11/16 11:19,0.6154,"amazon web services, inc. (aws), an amazon.com firm (amzn), reported that capital one financial corp. (cof) has selected aws as its predominant cloud infrastructure provider",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a2b057c-4253-4703-8416-5cc1cde25dea,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,b5ed7b26-a1ec-46ea-9db4-5eb2756fb94b,2016-11
"amazon.com, inc. hired korgan as national director on jun 24th '20.",hires,24/06/21 18:47,0.8638,"last year, korgan was appointed national director for amazon, a signal the 1.4 million-member union was serious about organizing workers at the seattle-based e-tailing colossus.",FALSE,FALSE,none,,none,"[""education""]",none,korgan,none,24/06/20 0:00,none,none,none,[],,national director,"[""education"", ""directors""]",none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a2f34ea-bfe1-4ef8-8f13-3d07ec435b79,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,eb3b6e0e-0b3d-475c-a862-4b614c8308b3,2021-06
"amazon.com, inc. invests into good glamm group $150m.",invests_into,12/11/21 12:55,0.6058,"the good glamm group, a south asian content-to-commerce conglomerate, has raised $150 million in funding in its series d round, including both primary and secondary sales, co-led by marquee tech and private equity investors prosus ventures, warburg pincus along with the participation from alteria capital and existing investors l’occitane, bessemer venture partners, amazon, ascent capital, the mankekar family office and stride ventures.",FALSE,FALSE,$150 million,150000000,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a2f5258-5cf6-49f2-b9e7-57508a87763b,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,7e850d57-5427-4e03-9dc7-e2c82b410442,2021-11
"amazon.com, inc. recognized as most inspiring brands in the world on nov 7th '22.",recognized_as,07/11/22 2:50,0.4826,"google, apple, samsung, and amazon are the most inspiring brands in the world, according to the ‘ inspire score: top 100 2022’, released this month.",TRUE,FALSE,none,,none,[],none,none,none,07/11/22 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],most inspiring brands in the world,none,4a30898b-48b4-45c4-b9e5-40562be3a8ca,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,1c6a3676-06c0-4ebd-895a-c8f59047aa90,2022-11
signature aviation plc is developing ground infrastructure and services for electric vertical take-off.,is_developing,20/12/24 0:00,0.6535,eve air mobility and signature aviation have partnered to develop ground infrastructure and services for electric vertical take-off and landing (evtol) aircraft.,FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,"[""support""]",none,[],ground infrastructure and services for electric vertical take-off,"{""full_text"": ""ground infrastructure and services for electric vertical take-off"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a30b7f4-139f-4c01-a660-8e1ef750fab7,c9b89cf3-2545-5544-b43d-fa44a07e8264,9cbd305e-cbe7-4b21-ab93-9cf260d03278,2024-12
"amazon.com, inc. receives award consumer choice at retail week awards.",receives_award,19/03/19 9:00,0.8765,"it is the third year running that amazon have won the consumer choice award at the retail week awards, with the winner determined by retail consumers who have participated in an online survey about their favourite retailer.",FALSE,FALSE,none,,none,[],consumer choice,none,none,,retail week awards,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a344b58-bc27-4d39-add4-038ff3673683,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,e71fd161-a165-4bc3-ab17-f71cc1a65cf5,2019-03
"amazon.com, inc. hires carla vernon as vice president of consumables.",hires,23/12/21 4:00,0.7696,"when carla vernon joined amazon as vice president of consumables, she could look back at a dozen milestones that made her present job possible.",FALSE,FALSE,none,,none,[],none,carla vernon,none,,none,none,none,[],,vice president of consumables,"[""directors""]",none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a35bd5d-e5eb-4eea-9262-b670119600ae,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,0c1024bf-f4d5-4f39-9d55-32857e70ff7f,2021-12
"amazon.com, inc. partnered with national labor relations board on dec 1st '22.",partners_with,23/12/21 6:00,0.127,"under pressure to improve worker rights, amazon has reached a settlement with the national labor relations board to allow its employees to freely organize — and do so without retaliation.",FALSE,FALSE,none,,none,[],none,none,none,01/12/22 0:00,none,none,none,[],,none,[],"new york, new york, united states","[{""city"": ""new york"", ""continent"": null, ""country"": ""united states"", ""fuzzy_match"": false, ""region"": null, ""state"": ""new york"", ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a3a8c0e-9639-4d91-a0fd-491a5f56d971,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,318de8b4-8e32-47be-975b-f36bcab1c25c,2021-12
"amazon.com, inc. increases headcount by 16000.",increases_headcount_by,30/09/20 7:49,0.742,"amazon announced plans to create 7,000 new jobs this year, while tesco announced last month it would hire 16,000 permanent staff.",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],16000,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a3e8c60-091d-49de-86b9-a83264b10407,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,f553b556-5fc8-47cc-8f74-ef37ad941a78,2020-09
"amazon.com, inc. launches shop-in-shop program in 30 kohl’s stores.",launches,22/04/19 19:35,0.9964,"amazon has also launched a shop-in-shop program in 30 kohl’s stores, but will transition the program to a wholesale relationship, offering amazon products in 200 stores.",FALSE,FALSE,none,,none,"[""retail""]",none,none,none,,none,none,none,[],,none,[],none,[],shop-in-shop program in 30 kohl’s stores,"{""full_text"": ""shop-in-shop program in 30 kohl\u2019s stores"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}","[""campaigns""]",none,none,4a3f106b-e7b9-41a6-a1c8-81e99dc30588,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,c244ed13-7e70-4b62-b8c4-1c25197b156d,2019-04
"amazon.com, inc. launched interactive purchase experience on jun 11th '22.",launches,09/06/22 20:00,0.7175,"to illustrate, the retail giant amazon recently introduced a new interactive purchase experience.",FALSE,FALSE,none,,none,[],none,none,none,11/06/22 0:00,none,none,none,[],,none,[],none,[],interactive purchase experience,"{""full_text"": ""interactive purchase experience"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}","[""mobile""]",none,none,4a464fed-e841-4feb-99ed-b77c295bff27,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,8da116ab-ebd1-4cbd-82ea-dada1fa3aee9,2022-06
"amazon.com, inc. launches contactless coffee house experience.",launches,29/01/17 22:00,0.7079,starbucks and amazon have partnered to offer customers a contactless coffee house experience.,FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],contactless coffee house experience,"{""full_text"": ""contactless coffee house experience"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,4a4f6843-c7a6-49b9-8693-812705325d4b,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,96eaa683-3263-405d-be7f-b2f0c7d31327,2017-01
